aid,katz_centrality_R,sqid,num_bff_noms,nominations,mbff_reciprocity,fbff_reciprocity
57100024,1,100024,0,0,0,0
57100112,1,100112,0,0,0,0
57100158,1,100158,0,0,0,0
57100197,1,100197,0,0,0,0
57100269,1,100269,0,0,0,0
57100270,1,100270,0,0,0,0
57100281,1,100281,0,0,0,0
57100285,1,100285,0,0,0,0
57100351,1,100351,0,0,0,0
57100420,1,100420,0,0,0,0
57100530,1,100530,0,0,0,0
57100580,1,100580,0,0,0,0
57100590,1,100590,0,0,0,0
57100627,1,100627,0,0,0,0
57100637,1,100637,0,0,0,0
57100649,1,100649,0,0,0,0
57100669,1,100669,0,0,0,0
57100672,1,100672,0,0,0,0
57100789,1,100789,0,0,0,0
57100804,1,100804,0,0,0,0
57100845,1,100845,0,0,0,0
57100885,1,100885,0,0,0,0
57100889,1,100889,0,0,0,0
57100895,1,100895,0,0,0,0
57100993,1,100993,0,0,0,0
57101003,1,101003,0,0,0,0
57101099,1,101099,0,0,0,0
57101142,1,101142,0,0,0,0
57101184,1,101184,0,0,0,0
57101187,1,101187,0,0,0,0
57101285,1,101285,0,0,0,0
57101310,1,101310,0,0,0,0
57101343,1,101343,0,0,0,0
57101362,1,101362,0,0,0,0
57101445,1,101445,0,0,0,0
57101478,1,101478,0,0,0,0
57101495,1,101495,0,0,0,0
57101571,1,101571,0,0,0,0
57101575,1,101575,0,0,0,0
57101652,1,101652,0,0,0,0
57101653,1,101653,0,0,0,0
57101655,1,101655,0,0,0,0
57101656,1,101656,0,0,0,0
57101659,1,101659,0,0,0,0
57101660,1,101660,0,0,0,0
57101824,1,101824,0,0,0,0
57101828,1,101828,0,0,0,0
57101835,1,101835,0,0,0,0
57101837,1,101837,0,0,0,0
57101859,1,101859,0,0,0,0
57101880,1,101880,0,0,0,0
57101882,1,101882,0,0,0,0
57101888,1,101888,0,0,0,0
57101957,1,101957,0,0,0,0
57101969,1,101969,0,0,0,0
57101970,1,101970,0,0,0,0
57101988,1,101988,0,0,0,0
57101995,1,101995,0,0,0,0
57102010,1,102010,0,0,0,0
57102040,1,102040,0,0,0,0
57102057,1,102057,0,0,0,0
57102103,1,102103,0,0,0,0
57102200,1,102200,0,0,0,0
57102215,1,102215,0,0,0,0
57102246,1,102246,0,0,0,0
57102282,1,102282,0,0,0,0
57102284,1,102284,0,0,0,0
57102301,1,102301,0,0,0,0
57102323,1,102323,0,0,0,0
57102612,1,102612,0,0,0,0
57102708,1,102708,0,0,0,0
57102758,1,102758,0,0,0,0
57103171,1,103171,0,0,0,0
57103243,1,103243,0,0,0,0
57103310,1,103310,0,0,0,0
57103330,1,103330,0,0,0,0
57103400,1,103400,0,0,0,0
57103451,1,103451,0,0,0,0
57103570,1,103570,0,0,0,0
57103644,1,103644,0,0,0,0
57103751,1,103751,0,0,0,0
57103873,1,103873,0,0,0,0
57103915,1,103915,0,0,0,0
57103916,1,103916,0,0,0,0
57103917,1,103917,0,0,0,0
57103937,1,103937,0,0,0,0
57104082,1,104082,0,0,0,0
57104083,1,104083,0,0,0,0
57104142,1,104142,0,0,0,0
57104201,1,104201,0,0,0,0
57104252,1,104252,0,0,0,0
