outcome,term,estimate,std.error,statistic,p.value,lwr,upr,model
w4.cigarettes.cont.30,w1.GE_male_std,1.06655697345225,1.03148993674227,2.07828216026625,0.0376833785822601,1.0036751086355,1.13337848854906,Model  1
w4.cigarettes.cont.30,w4.GE_male_std,1.21212461710095,1.04187430545958,4.68962867380514,2.73701277112196e-06,1.11848424461402,1.31360463453747,Model  2
w4.cigarettes.cont.30,delta_w1_w4_GE,1.06401840712225,1.02472252167213,2.54086613518698,0.0110578247731076,1.01428782311861,1.11618728421092,Model  3
w4.drunk.cont.30,w1.GE_male_std,1.04687173264522,1.01980174770758,2.33607947473779,0.0194870998323307,1.00740222610815,1.0878876343618,Model  1
w4.drunk.cont.30,w4.GE_male_std,1.09315810463135,1.02210313395706,4.0741569324217,4.61813341745111e-05,1.04730618877944,1.14101745461266,Model  2
w4.drunk.cont.30,delta_w1_w4_GE,1.02309814906234,1.01478910713875,1.55546032295458,0.119836477089169,0.994079154406768,1.05296426142186,Model  3
w4.fav.cont.30,w1.GE_male_std,0.95087237100702,1.08663930529947,-0.606277480594591,0.544330509842283,0.807971653545686,1.11904701356381,Model  1
w4.fav.cont.30,w4.GE_male_std,1.30043947056461,1.13959649831481,2.01035980540135,0.0443931213787759,1.00660716780234,1.68004249392992,Model  2
w4.fav.cont.30,delta_w1_w4_GE,1.20859165467098,1.07499686612765,2.61976858434695,0.00879894538500621,1.04887229440755,1.39263263557306,Model  3
w4.marijuana.cont.30,w1.GE_male_std,1.06635128467728,1.05194265736425,1.26865278544225,0.204564928943433,0.965598623748323,1.17761669742113,Model  1
w4.marijuana.cont.30,w4.GE_male_std,1.25069870911262,1.07746370066251,2.99829513935412,0.00271494613393568,1.08054953000781,1.44764049914922,Model  2
w4.marijuana.cont.30,delta_w1_w4_GE,1.09436361938654,1.0418344258972,2.20025273635928,0.0277889685724974,1.00989640998732,1.18589562215776,Model  3
