term,estimate,std.error,statistic,p.value,outcome,lwr,upr,model
(Intercept),0.272574898542014,0.189177727280428,1.44084032756119,0.149629797467936,w4.cigarettes.bin.30,-0.0982066336047653,0.643356430688793,Model  1
raceNon Hispanic Black/Af-Am,-0.177444029191863,0.137630602404081,-1.28927742880097,0.197301655006268,w4.cigarettes.bin.30,-0.447195053074414,0.092306994690688,Model  1
raceNon Hispanic Asian/Pacific Islander,-0.202190962831999,0.227990041858628,-0.886841202289765,0.375164401280441,w4.cigarettes.bin.30,-0.649043233708688,0.24466130804469,Model  1
raceHispanic,-0.293907831082712,0.143909286942026,-2.04231316357723,0.0411204771765422,w4.cigarettes.bin.30,-0.575964850529924,-0.0118508116355009,Model  1
raceMultiple Races or Other,0.228224156931538,0.173292272795888,1.31698980715863,0.187842041199205,w4.cigarettes.bin.30,-0.111422456547493,0.567870770410569,Model  1
pseudo.gpa,-0.390369796452511,0.049699083534522,-7.85466790713256,4.00832768233213e-15,w4.cigarettes.bin.30,-0.487778210244821,-0.2929613826602,Model  1
sespc_al,-0.00641856334383777,0.0364873123861728,-0.175912198626889,0.860362921681342,w4.cigarettes.bin.30,-0.0779323815133986,0.0650952548257231,Model  1
nhood1_d,0.00978713108024342,0.00448659230442948,2.18141752496229,0.029152548571004,w4.cigarettes.bin.30,0.000993571750247078,0.0185806904102398,Model  1
w1.GE_male_std,0.131220131218948,0.0382412166273733,3.43137961581012,0.000600519600512297,w4.cigarettes.bin.30,0.0562687239043017,0.206171538533593,Model  1
w1.cigarettes,1.16312581946216,0.0943901789388245,12.322530082457,6.85105854461508e-35,w4.cigarettes.bin.30,0.978124468247778,1.34812717067655,Model  1
(Intercept),0.21055389601776,0.187554429077239,1.12262822612975,0.261595422363252,w4.cigarettes.bin.30,-0.157046030114601,0.578153822150121,Model  2
raceNon Hispanic Black/Af-Am,-0.122133854164482,0.136097042398953,-0.897402706272346,0.369504068991778,w4.cigarettes.bin.30,-0.388879155668851,0.144611447339886,Model  2
raceNon Hispanic Asian/Pacific Islander,-0.181876649014783,0.228942258955905,-0.794421483583828,0.426950101378181,w4.cigarettes.bin.30,-0.6305952311076,0.266841933078033,Model  2
raceHispanic,-0.277554393081869,0.142804513073178,-1.94359678912697,0.0519440933376141,w4.cigarettes.bin.30,-0.557446095535078,0.00233730937133936,Model  2
raceMultiple Races or Other,0.250414876128406,0.18305642267376,1.36796552926576,0.171322866227626,w4.cigarettes.bin.30,-0.108369119450904,0.609198871707716,Model  2
pseudo.gpa,-0.382510764198844,0.0499975405751904,-7.65059160507292,2.00056762675914e-14,w4.cigarettes.bin.30,-0.480504143041798,-0.284517385355891,Model  2
sespc_al,-0.0105938648662513,0.0376184417810259,-0.281613601326641,0.778239809803267,w4.cigarettes.bin.30,-0.0843246559115788,0.0631369261790762,Model  2
