term,estimate,std.error,statistic,p.value,outcome,lwr,upr,model
w1.GE_male_std,1.0719133161646122,1.0260740509192674,2.6979571638155466,0.006976641736723512,w4.cigarettes.cont.30,1.019177453990108,1.1273779191961677,Model  1
w4.GE_male_std,1.1568452401794644,1.028774430970173,5.135911766327729,2.807793781911075e-7,w4.cigarettes.cont.30,1.094279316736732,1.222988399083354,Model  2
delta_w1_w4_GE,1.0375750598911806,1.0186766245078982,1.993385421769735,0.04621925897745658,w4.cigarettes.cont.30,1.0006186335127345,1.0758964193269605,Model  3
w1.GE_male_std,1.0409918872582393,1.0170841955852936,2.3715601658050085,0.017713162524730888,w4.drunk.cont.30,1.0069967626674434,1.076134650589087,Model  1
w4.GE_male_std,1.1167872815121285,1.0186056168656765,5.991763668475611,2.0757743559264425e-9,w4.drunk.cont.30,1.0771566253597304,1.157876025439408,Model  2
delta_w1_w4_GE,1.0387255632321455,1.0121534044631515,3.145205817002933,0.0016597002213251419,w4.drunk.cont.30,1.0144208849626024,1.0636125613203578,Model  3
w1.GE_male_std,0.9576968695619921,1.0692493199339341,-0.6455498237661624,0.5185709414614583,w4.fav.cont.30,0.83991301119785,1.091997959003861,Model  1
w4.GE_male_std,1.1787780892589201,1.101092215040842,1.707932780557008,0.08764881585420023,w4.fav.cont.30,0.9760209157454093,1.4236557447702898,Model  2
delta_w1_w4_GE,1.1265823954124565,1.0633737544150939,1.939709302101943,0.05241502845791604,w4.fav.cont.30,0.9987561919716319,1.2707684856979768,Model  3
w1.GE_male_std,1.0932498192127214,1.0454971443211394,2.003814776565996,0.04508990536258694,w4.marijuana.cont.30,1.0019529362369828,1.1928655767978702,Model  1
w4.GE_male_std,1.2498781929176703,1.0566408014499324,4.048404145217109,5.15680456588345e-5,w4.marijuana.cont.30,1.1219432611094602,1.392401515551087,Model  2
delta_w1_w4_GE,1.0804488252601538,1.0324373422327628,2.4238977736099434,0.01535492712419563,w4.marijuana.cont.30,1.0149200701228887,1.1502084729339317,Model  3
