outcome,term,estimate,std.error,statistic,p.value,lwr,upr,model
w4.cigarettes,(Intercept),1.56310550619358,0.212232545125128,7.36506036466748,1.77066725770407e-13,1.14713736140106,1.9790736509861,model 0
w4.cigarettes,w1.GE_male_std,0.0829150481782603,0.0363032320788103,2.28395774784628,0.0223740142345503,0.011762020781393,0.154068075575128,model 0
w4.cigarettes,raceNon Hispanic Black/Af-Am,-0.754446382392146,0.139427735290485,-5.41102084761202,6.2666475246783e-08,-1.02771972200748,-0.481173042776811,model 0
w4.cigarettes,raceNon Hispanic Asian/Pacific Islander,-0.229732222822475,0.235189730982072,-0.976795295709516,0.328670505480668,-0.690695625081001,0.231231179436051,model 0
w4.cigarettes,raceHispanic,-0.795669797534491,0.160362141978432,-4.96170597198373,6.98767179901453e-07,-1.10997382029592,-0.481365774773064,model 0
w4.cigarettes,raceMultiple Races or Other,0.0600587449747044,0.153478559283306,0.391316840965662,0.695563052087553,-0.240753703619671,0.360871193569079,model 0
w4.cigarettes,pseudo.gpa,-0.566329001239953,0.0593398594043481,-9.54382108290697,1.37664392386058e-21,-0.682632988520146,-0.45002501395976,model 0
w4.cigarettes,sespc_al,0.0116655527163032,0.0342016490235155,0.341081586688481,0.733042162669126,-0.0553684475816666,0.078699553014273,model 0
w4.cigarettes,nhood1_d,0.00838787557255834,0.00443576122623016,1.89096643050983,0.0586288255479709,-0.000306056674871999,0.0170818078199887,model 0
,,,,,,,,
w4.cigarettes,(Intercept),0.748856559634483,0.232348826935074,3.22298403444807,0.00126862624513848,0.293461226991607,1.20425189227736,model 1
w4.cigarettes,w1.GE_male_std,0.0388043842756085,0.03751663397957,1.03432478235494,0.300984355015051,-0.0347268671455202,0.112335635696737,model 1
w4.cigarettes,raceNon Hispanic Black/Af-Am,-0.503487914492445,0.157448997544888,-3.1977841862658,0.00138487880409058,-0.812082279082361,-0.194893549902529,model 1
